searchstring	count	is_fixed	fixed	productcount	predicted_productcount
активировать новую карту Bosco	1	False	активировать новую карту Bosco	0	0
Шарф снуд женский	1	False	Шарф снуд женский	0	0
Платье Armani	1	False	Платье Armani	4	4
Чихуа	1	False	Чихуа	0	0
Дзюдо	1	False	Дзюдо	0	0
свитшот bosco	2	False	свитшот bosco	43	43
A lange söhne	2	False	A lange söhne	0	0
living proof	1	False	living proof	56	56
Шарф+burberry	1	False	Шарф+burberry	16	16
по2014иск	1	False	по2014иск	0	0
свитер из ше	1	False	свитер из ше	57	57
esteban	1	False	esteban	0	0
Болоневые штаны	1	False	Болоневые штаны	0	0
bosco носки	1	False	bosco носки	14	14
плиссированные юбки	2	False	плиссированные юбки	47	47
поискmax mara cibe	1	False	поискmax mara cibe	0	0
etro платок 11527	1	False	etro платок 11527	0	0
Джемпер с высоким воротником	1	False	Джемпер с высоким воротником	1	1
Трусы детские	1	False	Трусы детские	0	0
moncler шапка	1	False	moncler шапка	32	32
поискmax Mara обувь	2	False	поискmax Mara обувь	0	0
Брюки вельветовые  мужские	1	False	брюки вельветовые мужские	0	0
Сумка для ноутбука поиск	1	False	Сумка для ноутбука поиск	0	0
обложка для документов	2	False	обложка для документов	0	0
поиск chado	1	False	поиск chado	0	0
Винни	1	False	Винни	17	17
Флёр наркотик  духи	1	False	флёр наркотик духи	0	0
куртка утепленная	1	False	куртка утепленная	13	13
dolce	3	False	dolce	58	58
нейлон	1	False	нейлон	60	60
Лиса	4	False	Лиса	31	31
платье+белое	2	False	платье+белое	35	35
peche cardinal	1	False	peche cardinal	0	0
red wing	1	False	red wing	0	0
спортивный	1	False	спортивный	60	60
Barbara sturm	1	False	Barbara sturm	15	15
Искусственная шуба	1	False	Искусственная шуба	9	9
paul+smith+носки	7	False	paul+smith+носки	55	55
трикотажные+брюки	2	False	трикотажные+брюки	54	54
Ajmal	2	False	Ajmal	0	0
Ёлки новогодние	1	False	Ёлки новогодние	0	0
женская+спортивная+обувьоиск+спортивная+обувь	2	False	женская+спортивная+обувьоиск+спортивная+обувь	0	0
платье+футляр	2	False	платье+футляр	53	53
Max&Co Пальто из шерсти на поясе	1	False	Max&Co Пальто из шерсти на поясе	3	3
Набор носков	4	False	Набор носков	12	12
Пуховики+монклер	1	False	Пуховики+монклер	0	0
red valentino	24	False	red valentino	32	32
Рюкзак burberry	1	False	Рюкзак burberry	6	6
поискпоясная сумка	2	False	поискпоясная сумка	0	0
свитер+из+шерсти	1	False	свитер+из+шерсти	60	60
Ray ban	1	False	Ray ban	31	31
Сноубордистский костюм	1	False	Сноубордистский костюм	0	0
пальто+max+mara+серое	4	False	пальто+max+mara+серое	17	17
max&co	1377	False	max&co	57	57
удлиненная кожаная куртка	1	False	удлиненная кожаная куртка	0	0
Etro мужские	1	False	Etro мужские	0	0
Брюки женские 41836	1	False	Брюки женские 41836	0	0
antonio+marras	46	False	antonio+marras	43	43
трусы Paul smeet	1	False	трусы Paul smeet	56	56
туалетная вода	3	False	туалетная вода	60	60
бархат	21	False	бархат	50	50
Шапки мужчины	1	False	Шапки мужчины	0	0
поискugg	2	False	поискugg	0	0
Ralph	2	False	Ralph	39	39
piquadro	2	False	piquadro	54	54
поискпуховик удлиненный	1	False	поискпуховик удлиненный	0	0
пальто пуховое удлиненное	7	False	пальто пуховое удлиненное	8	8
stone	9	False	stone	50	50
берет кашемир	1	False	берет кашемир	8	8
Puma	1	False	Puma	7	7
юбка weekend max mara	3	False	юбка weekend max mara	9	9
Storm and Marie	1	False	Storm and Marie	0	0
Creed	1	False	Creed	60	60
Шарф Weekend	1	False	Шарф Weekend	23	23
юбка черная	2	False	юбка черная	60	60
горнолыжная+куртка	1	False	горнолыжная+куртка	2	2
cecile zarokian	1	False	cecile zarokian	0	0
Пуховик удлинненный	1	False	Пуховик удлинненный	54	54
поискsander jil	1	False	поискsander jil	0	0
удлиненный кардиган	6	False	удлиненный кардиган	20	20
Bally+обувь	2	False	Bally+обувь	0	0
Горнолыжный костюм мужской	1	False	Горнолыжный костюм мужской	0	0
поисккупальник	1	False	поисккупальник	0	0
платье с цветочным узором	1	False	платье с цветочным узором	57	57
Зарегестрироваться карту	1	False	Зарегестрироваться карту	0	0
Biryukov	1	False	Biryukov	0	0
кружево	5	False	кружево	53	53
Dolce Gabbana поиск	1	False	Dolce Gabbana поиск	0	0
Откр спин	1	False	Откр спин	0	0
Брюки+Max+Mara	11	False	Брюки+Max+Mara	50	50
поиск кроватки д	1	False	поиск кроватки д	0	0
Крем Valmont (Швейцария)	1	False	Крем Valmont (Швейцария)	0	0
шарф+etro	16	False	шарф+etro	54	54
Шуба из шерсти	8	False	Шуба из шерсти	6	6
юбка с высокой талией	1	False	юбка с высокой талией	2	2
шаль	2	False	шаль	18	18
kissy kissy	1	False	kissy kissy	0	0
Парка roshas	1	False	Парка roshas	0	0
Свитшот укорочённый	1	False	Свитшот укорочённый	0	0
поиск19sp22	1	False	поиск19sp22	0	0
Союзмультфильм	5	False	Союзмультфильм	0	0
Детский спортивный костюм	1	False	Детский спортивный костюм	0	0
steiff	2	False	steiff	45	45
Sweater	1	False	Sweater	23	23
поискпухрвик	1	False	поискпухрвик	0	0
футболка moschino	2	False	футболка moschino	34	34
Зимнее пальто	1	False	Зимнее пальто	0	0
Шуба+макс+марапоиск	1	False	Шуба+макс+марапоиск	0	0
Слаксы	1	False	Слаксы	0	0
agnona	2	False	agnona	52	52
На+меху	1	False	На+меху	28	28
etro туалетная вода	8	False	etro туалетная вода	24	24
m. micaller	1	False	m. micaller	0	0
шлепанцы	2	False	шлепанцы	21	21
сумка gucci	7	False	сумка gucci	5	5
поискброшь etro	3	False	поискброшь etro	0	0
как суммируются бонусы и скидки	1	False	как суммируются бонусы и скидки	0	0
шапка+из+кашемира	3	False	шапка+из+кашемира	56	56
шапка maxmara	4	False	шапка maxmara	2	2
серебряный детский набо	1	False	серебряный детский набо	0	0
Юбка из шелка	1	False	Юбка из шелка	60	60
moncler горнолыжный	1	False	moncler горнолыжный	0	0
Пиджак maxmara	1	False	Пиджак maxmara	0	0
брюки прямого кроя	1	False	брюки прямого кроя	60	60
шорты stone island	1	False	шорты stone island	5	5
пуховик+на+молнии	3	False	пуховик+на+молнии	48	48
мини-юбка	2	False	мини-юбка	48	48
поискbosco	5	False	поискbosco	0	0
max mara teddy	9	False	max mara teddy	4	4
Кожаное портмоне	1	False	Кожаное портмоне	0	0
max@co пальто	5	False	max@co пальто	44	44
поискmaison margiela	2	False	поискmaison margiela	0	0
поискTom+ford	1	False	поискTom+ford	0	0
Костюм женский	1	False	Костюм женский	0	0
Куртка ветровка	1	False	Куртка ветровка	3	3
Max Mara шуба	4	False	Max Mara шуба	5	5
поискпуховик max&co	1	False	поискпуховик max&co	0	0
мембранные сапогиоиск	1	False	мембранные сапогиоиск	0	0
tara jarmon	9	False	tara jarmon	40	40
Платье блестящее	1	False	Платье блестящее	1	1
max&co пуховики	1	False	max&co пуховики	60	60
Max mara куртка	1	False	Max mara куртка	22	22
dorothee schumacher	15	False	dorothee schumacher	59	59
поискteddy	1	False	поискteddy	0	0
поискmax mara платья	1	False	поискmax mara платья	0	0
Джинсы max mara	1	False	Джинсы max mara	9	9
пейсли	1	False	пейсли	60	60
coccinelle рюкзак	1	False	coccinelle рюкзак	4	4
пальто пуховое женское bosco	1	False	пальто пуховое женское bosco	0	0
пальто 1	2	False	пальто 1	55	55
зубная щетка	1	False	зубная щетка	23	23
molo	6	False	molo	6	6
поискPaul shark	1	False	поискPaul shark	0	0
Stone Island junior	1	False	Stone Island junior	0	0
Платьяпоиск	2	False	Платьяпоиск	0	0
запонки paul smith	12	False	запонки paul smith	45	45
consuelo	1	False	consuelo	0	0
ermanno+scervino	297	False	ermanno+scervino	55	55
Max+Mara+пуховик	3	False	Max+Mara+пуховик	22	22
спортивные костюмы логотип Россия	2	False	спортивные костюмы логотип Россия	0	0
платье рубашка	4	False	платье рубашка	30	30
Boss black label	1	False	Boss black label	0	0
Пальто пуховикпоиск	1	False	Пальто пуховикпоиск	0	0
пп	1	False	пп	31	31
Calvin Kline	1	False	Calvin Kline	50	50
подарочный+набор	5	False	подарочный+набор	25	25
SHOW Beauty Lux Volume Shampoo	1	False	SHOW Beauty Lux Volume Shampoo	0	0
юбка bosco	2	False	юбка bosco	8	8
Кроссовки меховые Hogan	1	False	Кроссовки меховые Hogan	0	0
veronique	1	False	veronique	0	0
persona+marina+rinaldi	6	False	persona+marina+rinaldi	59	59
Рубашки Paul Smith	1	False	Рубашки Paul Smith	60	60
джемпер max mara	5	False	джемпер max mara	60	60
сертификат	2	False	сертификат	0	0
Brecourt	1	False	Brecourt	1	1
St barthпоиск	1	False	St barthпоиск	0	0
dolce+gabbana	15	False	dolce+gabbana	49	49
Tommy Hilfiger	1	False	Tommy Hilfiger	3	3
платья макси	3	False	платья макси	60	60
Texier	1	False	Texier	17	17
парфюм мужской	2	False	парфюм мужской	0	0
поиск37791	1	False	поиск37791	0	0
Emu	1	False	Emu	31	31
поискmax co паальто	2	False	поискmax co паальто	0	0
Детский комбинезон Moncler	2	False	Детский комбинезон Moncler	0	0
Max&coМакс и ко	1	False	Max&coМакс и ко	0	0
Mac eye shadow	1	False	Mac eye shadow	0	0
футболки	7	False	футболки	55	55
ботинки weekend max mara	1	False	ботинки weekend max mara	2	2
календарь	1	False	календарь	1	1
Рюкзак детский	1	False	Рюкзак детский	0	0
Samsung	1	False	Samsung	0	0
Домашние тапочки	1	False	Домашние тапочки	11	11
voyage+by+marina+rinaldi	1	False	voyage+by+marina+rinaldi	3	3
woolrich polar	1	False	woolrich polar	0	0
Kiss	1	False	Kiss	31	31
ermanno+scervino+джемпер	1	False	ermanno+scervino+джемпер	16	16
Трусы-брифы	3	False	Трусы-брифы	44	44
Max mara бархат	1	False	Max mara бархат	11	11
крокодил	1	False	крокодил	0	0
Удлиннный+пуховик+с+мехом+лисы	1	False	Удлиннный+пуховик+с+мехом+лисы	0	0
женский трикотажный костюм	1	False	женский трикотажный костюм	0	0
Норковая шуба	2	False	Норковая шуба	0	0
Tombolini	2	False	Tombolini	0	0
Накидка	2	False	Накидка	9	9
Pineider	1	False	Pineider	3	3
Праздничные платья	1	False	Праздничные платья	1	1
Hermesпоиск	1	False	Hermesпоиск	0	0
terehov	1	False	terehov	3	3
Style Ikallah - 50391791	1	False	Style Ikallah - 50391791	0	0
двубортное пальто	3	False	двубортное пальто	60	60
The merchant	2	False	The merchant	60	60
Etroоиск	1	False	Etroоиск	0	0
Пуховик Bosco Fresch	1	False	Пуховик Bosco Fresch	11	11
парка стеганная	1	False	парка стеганная	0	0
Юбка	48	False	Юбка	57	57
Шарф из шёлка с узором etro	1	False	Шарф из шёлка с узором etro	0	0
серый вязаный джемпер	1	False	серый вязаный джемпер	0	0
Мужская шапка крупной вязки	1	False	Мужская шапка крупной вязки	0	0
aqua del elba	1	False	aqua del elba	0	0
Choulett	1	False	Choulett	60	60
max  Mara манжеты	1	False	max mara манжеты	21	21
Ocean-blue aster	1	False	Ocean-blue aster	0	0
пальто из шерсти альпака	5	False	пальто из шерсти альпака	38	38
Кролик	3	False	Кролик	58	58
меховое пальто	1	False	меховое пальто	28	28
Заколки	3	False	Заколки	43	43
Bosco сумка	1	False	Bosco сумка	2	2
серотанин	1	False	серотанин	0	0
sonya rykiel  мужское	1	False	sonya rykiel мужское	0	0
поиск max mara	1	False	поиск max mara	0	0
поло 18 года	1	False	поло 18 года	0	0
laplandia	2	False	laplandia	7	7
Вакансии	3	False	Вакансии	0	0
поиск ossido	1	False	поиск ossido	0	0
Max+Mara+меховой+капюшон	1	False	Max+Mara+меховой+капюшон	1	1
платье+max+mara	29	False	платье+max+mara	46	46
Etro ремень	3	False	Etro ремень	52	52
elizabetta+franchi	1	False	elizabetta+franchi	24	24
Записная книжка поиск	1	False	Записная книжка поиск	0	0
Манжетыоиск	1	False	Манжетыоиск	0	0
Sordo	1	False	Sordo	9	9
пуховик etro	2	False	пуховик etro	23	23
3 lab	2	False	3 lab	31	31
Сумка на цепочке	1	False	Сумка на цепочке	60	60
leaf moschino джинсы	2	False	leaf moschino джинсы	7	7
Kaw849r	1	False	Kaw849r	0	0
Вечернее платье maxmara	1	False	Вечернее платье maxmara	0	0
